decision_month,decision_date,ranking_window,rank,Ticker,momentum_3m,momentum_4m,momentum_5m,momentum_6m,momentum_7m
2026-04,2026-04-01,4,9,ROST,0.20618051058972697,0.24461710369977285,0.37046864107482014,0.4420336326636658,0.464538349002549
2026-04,2026-04-01,4,10,MCHP,0.011301919017007833,0.23086196155867378,0.0632612890655444,0.03506694007246591,0.043366946131583095
2026-04,2026-04-01,5,1,WDC,0.5869607079131112,0.822869196474836,0.8865460100562541,1.2828090457383374,2.643743417914033
2026-04,2026-04-01,5,2,STX,0.47408381127026744,0.5733805290131553,0.6003393484970556,0.6546103684315983,1.500349810667625
2026-04,2026-04-01,5,3,MU,0.16671269166070668,0.5310371159716212,0.568611934270528,1.0224199743542095,2.1092484576230857
2026-04,2026-04-01,5,4,AMAT,0.31751849277339894,0.39054451066024165,0.4931453995947499,0.6300890909655312,1.2525582191151234
2026-04,2026-04-01,5,5,ODFL,0.25578751702196745,0.43413267800862787,0.4566598113020761,0.4385612526845606,0.33876013978591124
2026-04,2026-04-01,5,6,ADI,0.17477814380013745,0.2109098130199445,0.38144590503783293,0.348710973208324,0.29961163879051833
2026-04,2026-04-01,5,7,LRCX,0.20110223400940397,0.4383483721414747,0.380810563272203,0.5592263218469202,1.2990989187467723
2026-04,2026-04-01,5,8,ROST,0.20618051058972697,0.24461710369977285,0.37046864107482014,0.4420336326636658,0.464538349002549
2026-04,2026-04-01,5,9,FANG,0.25875939423793737,0.22796759799020405,0.3667470123920016,0.3451328152219173,0.2884047976571704
2026-04,2026-04-01,5,10,ASML,0.16994062446153446,0.25143942459495805,0.27627305770965305,0.3595235217907795,0.8791337596244329
2026-04,2026-04-01,6,1,WDC,0.5869607079131112,0.822869196474836,0.8865460100562541,1.2828090457383374,2.643743417914033
2026-04,2026-04-01,6,2,MU,0.16671269166070668,0.5310371159716212,0.568611934270528,1.0224199743542095,2.1092484576230857
2026-04,2026-04-01,6,3,STX,0.47408381127026744,0.5733805290131553,0.6003393484970556,0.6546103684315983,1.500349810667625
2026-04,2026-04-01,6,4,AMAT,0.31751849277339894,0.39054451066024165,0.4931453995947499,0.6300890909655312,1.2525582191151234
2026-04,2026-04-01,6,5,LRCX,0.20110223400940397,0.4383483721414747,0.380810563272203,0.5592263218469202,1.2990989187467723
2026-04,2026-04-01,6,6,ROST,0.20618051058972697,0.24461710369977285,0.37046864107482014,0.4420336326636658,0.464538349002549
2026-04,2026-04-01,6,7,ODFL,0.25578751702196745,0.43413267800862787,0.4566598113020761,0.4385612526845606,0.33876013978591124
2026-04,2026-04-01,6,8,WBD,-0.035776936147842275,0.15165474673695178,0.23328840924221184,0.42067179478939964,1.3657487127243217
2026-04,2026-04-01,6,9,ASML,0.16994062446153446,0.25143942459495805,0.27627305770965305,0.3595235217907795,0.8791337596244329
2026-04,2026-04-01,6,10,KLAC,0.19407657845144954,0.31510633181385095,0.25036345816468164,0.3503486290862219,0.8011083784535662
2026-03,2026-03-02,4,1,MU,0.716862309202404,0.7589976621860464,1.2678853380659616,2.4866244790225775,2.938741948845895
2026-03,2026-03-02,4,2,WDC,0.652789169248067,0.7105247149598073,1.069815033110591,2.303769501560274,2.5350983826022513
2026-03,2026-03-02,4,3,AMAT,0.4627837723733512,0.5707148124903043,0.7147727753461428,1.3695793870584718,1.0803639716192865
2026-03,2026-03-02,4,4,ADI,0.32698461428919523,0.5138678717007172,0.47799505076847115,0.4241891763394108,0.6014312093614484
2026-03,2026-03-02,4,5,ODFL,0.49038486972622675,0.5137956037076048,0.49498715010981553,0.3912714542562614,0.4702259545059351
2026-03,2026-03-02,4,6,LRCX,0.49480140433657027,0.4350053221314054,0.6204236336049973,1.3893351284116688,1.4056986670392222
2026-03,2026-03-02,4,7,STX,0.40879546841583614,0.4329342333378734,0.48152817837546946,1.2387981913900319,1.4657003834963023
2026-03,2026-03-02,4,8,BKR,0.2973396965563979,0.3442379792266408,0.35202108871909177,0.44144025617201943,0.5106707431276611
2026-03,2026-03-02,4,9,ASML,0.3101386067536367,0.3361370696836725,0.42329242445295545,0.9672751531980117,1.070027710726134
2026-03,2026-03-02,4,10,AMGN,0.15076772935003824,0.3200899108447619,0.31036042844889455,0.36324614018949974,0.3281989071066025
2026-03,2026-03-02,5,1,MU,0.716862309202404,0.7589976621860464,1.2678853380659616,2.4866244790225775,2.938741948845895
2026-03,2026-03-02,5,2,WDC,0.652789169248067,0.7105247149598073,1.069815033110591,2.303769501560274,2.5350983826022513
2026-03,2026-03-02,5,3,AMAT,0.4627837723733512,0.5707148124903043,0.7147727753461428,1.3695793870584718,1.0803639716192865
2026-03,2026-03-02,5,4,LRCX,0.49480140433657027,0.4350053221314054,0.6204236336049973,1.3893351284116688,1.4056986670392222
2026-03,2026-03-02,5,5,ODFL,0.49038486972622675,0.5137956037076048,0.49498715010981553,0.3912714542562614,0.4702259545059351
2026-03,2026-03-02,5,6,STX,0.40879546841583614,0.4329342333378734,0.48152817837546946,1.2387981913900319,1.4657003834963023
2026-03,2026-03-02,5,7,ADI,0.32698461428919523,0.5138678717007172,0.47799505076847115,0.4241891763394108,0.6014312093614484
2026-03,2026-03-02,5,8,WBD,0.1939672810214823,0.2786002166624737,0.4728681880178489,1.4526678382689808,1.2144522341432746
2026-03,2026-03-02,5,9,ASML,0.3101386067536367,0.3361370696836725,0.42329242445295545,0.9672751531980117,1.070027710726134
2026-03,2026-03-02,5,10,KLAC,0.32818094817442,0.26279440928346287,0.36377361978942346,0.8190147640456782,0.740135443605608
